,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
999299,2020-01-05 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,149,50,146
615906,2020-01-05 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,128,56,92
1233395,2020-01-05 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,7,114,56,70
860245,2020-01-05 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,129,58,61
280573,2020-01-05 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,134,64,97
794427,2020-01-05 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,139,58,126
399407,2020-01-05 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,138,56,165
968350,2020-01-05 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,124,50,202
225154,2020-01-05 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,123,55,200
788715,2020-01-05 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,109,52,246
573379,2020-01-05 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,123,53,221
121749,2020-01-05 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,106,51,222
353616,2020-01-05 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,96,37,269
1284744,2020-01-05 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,110,33,244
1002952,2020-01-05 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,95,28,240
143635,2020-01-05 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,91,28,227
476631,2020-01-05 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,83,25,212
761379,2020-01-05 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,106,25,227
245066,2020-01-05 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,96,32,238
56628,2020-01-05 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,86,31,200
544926,2020-01-05 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,102,45,227
704300,2020-01-05 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,93,39,213
275625,2020-01-05 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,7,102,56,195
174308,2020-01-06 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,50,161
985462,2020-01-06 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,96,46,117
725983,2020-01-06 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,129,54,69
808743,2020-01-06 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,110,55,52
1321085,2020-01-06 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,9,112,62,44
940516,2020-01-06 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,115,59,179
826386,2020-01-06 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,105,54,466
57151,2020-01-06 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,38,425
312097,2020-01-06 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,90,23,410
469779,2020-01-06 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,81,29,305
759901,2020-01-06 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,92,37,294
358996,2020-01-06 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,96,37,289
219546,2020-01-06 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,33,280
815272,2020-01-06 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,101,35,406
521543,2020-01-06 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,26,414
358089,2020-01-06 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,102,23,415
322947,2020-01-06 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,87,17,300
693206,2020-01-06 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,96,24,286
970908,2020-01-06 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,105,23,277
145858,2020-01-06 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,87,15,303
444032,2020-01-06 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,108,22,317
315617,2020-01-06 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,109,25,268
234270,2020-01-06 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,100,25,264
162315,2020-01-06 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,107,51,216
527367,2020-01-07 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,110,46,141
1181993,2020-01-07 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,123,53,110
845986,2020-01-07 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,131,54,81
98607,2020-01-07 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,7,108,58,54
23347,2020-01-07 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,115,61,64
560079,2020-01-07 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,110,56,160
516377,2020-01-07 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,105,53,466
277372,2020-01-07 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,100,40,561
585053,2020-01-07 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,28,490
834587,2020-01-07 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,29,347
503610,2020-01-07 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,100,32,318
953047,2020-01-07 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,93,33,378
1238156,2020-01-07 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,91,32,357
744492,2020-01-07 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,86,34,283
686069,2020-01-07 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,86,32,349
763252,2020-01-07 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,84,24,244
